Zona Operativa,Coordenadas del Poligono
AGU143D,"-58.4122926743,-34.5783217165,0 -58.4128303433,-34.5781061121,0 -58.4129426159,-34.5782894038,0 -58.4132150966,-34.5781692447,0 -58.4132335038,-34.5781117041,0 -58.4143242242,-34.5776494859,0 -58.4146314160,-34.5781195907,0 -58.4147540814,-34.5781531947,0 -58.4148278281,-34.5782691675,0 -58.4134336689,-34.5787605489,0 -58.4125387856,-34.5790735225,0 -58.4124366602,-34.5789178023,0 -58.4125951763,-34.5789074749,0 -58.4126237396,-34.5788275065,0 -58.4122926743,-34.5783217165,0"
AGU144A,"-58.4078677654,-34.5783522332,0 -58.4103277435,-34.5773005230,0 -58.4104069956,-34.5774273382,0 -58.4102611385,-34.5774963485,0 -58.4102211068,-34.5775676550,0 -58.4092191580,-34.5779996582,0 -58.4093930827,-34.5783067869,0 -58.4090786875,-34.5784208405,0 -58.4092694211,-34.5787771094,0 -58.4085776490,-34.5790148580,0 -58.4079910855,-34.5792518482,0 -58.4075725952,-34.5787573336,0 -58.4079925166,-34.5785499248,0 -58.4078677654,-34.5783522332,0"
AGU144B,"-58.4072531503,-34.5789325720,0 -58.4071363304,-34.5790162461,0 -58.4069364360,-34.5788097320,0 -58.4070950272,-34.5786825848,0 -58.4078677654,-34.5783522332,0 -58.4079925166,-34.5785499248,0 -58.4075725952,-34.5787573336,0 -58.4079910855,-34.5792518482,0 -58.4079678765,-34.5793520110,0 -58.4077217190,-34.5794863990,0 -58.4072531503,-34.5789325720,0"
AGU144C,"-58.4085776490,-34.5790148580,0 -58.4087607387,-34.5792695737,0 -58.4082007488,-34.5795115622,0 -58.4086978462,-34.5800954211,0 -58.4086497393,-34.5801684874,0 -58.4084773058,-34.5802361223,0 -58.4083487966,-34.5802275627,0 -58.4077217190,-34.5794863990,0 -58.4079678765,-34.5793520110,0 -58.4079910855,-34.5792518482,0 -58.4085776490,-34.5790148580,0"
AGU143C,"-58.4087607387,-34.5792695737,0 -58.4085776490,-34.5790148580,0 -58.4092694211,-34.5787771094,0 -58.4092734494,-34.5787846258,0 -58.4093774578,-34.5788079702,0 -58.4094535635,-34.5789315417,0 -58.4094432442,-34.5789927158,0 -58.4098116152,-34.5797171124,0 -58.4086978462,-34.5800954211,0 -58.4082007488,-34.5795115622,0 -58.4087607387,-34.5792695737,0"
AGU145A,"-58.4050166875,-34.5805860559,0 -58.4051381760,-34.5808229628,0 -58.4051774267,-34.5808266088,0 -58.4051984277,-34.5808679951,0 -58.4051851036,-34.5809206806,0 -58.4052362118,-34.5810264928,0 -58.4053019132,-34.5810858597,0 -58.4054014860,-34.5813095316,0 -58.4053844747,-34.5813320189,0 -58.4054471372,-34.5814508781,0 -58.4054361790,-34.5814789263,0 -58.4054853562,-34.5815792277,0 -58.4054609498,-34.5815853397,0 -58.4054181808,-34.5816299089,0 -58.4047565708,-34.5818357018,0 -58.4046768145,-34.5818315874,0 -58.4043966918,-34.5819608376,0 -58.4041158982,-34.5815988743,0 -58.4041534176,-34.5815217560,0 -58.4039178722,-34.5811609780,0 -58.4049304712,-34.5804179289,0 -58.4050166875,-34.5805860559,0"
AGU145B,"-58.4046768145,-34.5818315874,0 -58.4047565708,-34.5818357018,0 -58.4051135588,-34.5822906401,0 -58.4050928463,-34.5823783128,0 -58.4048195123,-34.5825058753,0 -58.4043966929,-34.5819608376,0 -58.4046768145,-34.5818315874,0"
AGU145C,"-58.4051710484,-34.5829590179,0 -58.4048194551,-34.5825059016,0 -58.4050928463,-34.5823783128,0 -58.4051135588,-34.5822906401,0 -58.4053895402,-34.5822121118,0 -58.4054596949,-34.5823456630,0 -58.4051971212,-34.5824320865,0 -58.4052342497,-34.5825063456,0 -58.4053454858,-34.5825408625,0 -58.4055356042,-34.5828102959,0 -58.4051710484,-34.5829590179,0"
AGU134A,"-58.4047565708,-34.5818357018,0 -58.4054181808,-34.5816299089,0 -58.4054609498,-34.5815853397,0 -58.4054850420,-34.5815793066,0 -58.4055205151,-34.5816509373,0 -58.4055969080,-34.5816841631,0 -58.4056218963,-34.5817379027,0 -58.4055986991,-34.5817636594,0 -58.4057307286,-34.5820433719,0 -58.4058351158,-34.5822874860,0 -58.4058949984,-34.5824149721,0 -58.4062781590,-34.5831828641,0 -58.4064039774,-34.5831518130,0 -58.4064766225,-34.5833461532,0 -58.4062322230,-34.5833449179,0 -58.4062372752,-34.5831684003,0 -58.4061473985,-34.5831165433,0 -58.4057184280,-34.5831144579,0 -58.4055356042,-34.5828102959,0 -58.4053454858,-34.5825408625,0 -58.4052342497,-34.5825063456,0 -58.4051971212,-34.5824320865,0 -58.4054596949,-34.5823456630,0 -58.4053895402,-34.5822121118,0 -58.4051135588,-34.5822906401,0 -58.4047565708,-34.5818357018,0"
AGU146A,"-58.4021877671,-34.5832333658,0 -58.4022778151,-34.5832500333,0 -58.4024303190,-34.5831828702,0 -58.4024892945,-34.5831173038,0 -58.4027918105,-34.5831180441,0 -58.4027770555,-34.5833281165,0 -58.4023725657,-34.5833198489,0 -58.4022988610,-34.5834498498,0 -58.4022661670,-34.5835944149,0 -58.4014217059,-34.5843187259,0 -58.4010243047,-34.5840191932,0 -58.4013057193,-34.5837651355,0 -58.4014042937,-34.5837938037,0 -58.4015764669,-34.5836806907,0 -58.4015993856,-34.5835666075,0 -58.4021877671,-34.5832333658,0"
