Zona Operativa,Coordenadas del Poligono
Zona no identificada,"-58.4822809139,-34.6147734537,0 -58.4821311404,-34.6147979239,0 -58.4812259546,-34.6143325932,0 -58.4812100866,-34.6142133323,0 -58.4810204482,-34.6141141368,0 -58.4808240659,-34.6141304305,0 -58.4799409279,-34.6136447481,0 -58.4799326070,-34.6135451624,0 -58.4798097324,-34.6134808996,0 -58.4805663323,-34.6124947768,0 -58.4807169726,-34.6125736526,0 -58.4807469559,-34.6126939006,0 -58.4816295637,-34.6131496952,0 -58.4818080946,-34.6131401877,0 -58.4819885236,-34.6132339585,0 -58.4821101340,-34.6130807873,0 -58.4822757566,-34.6130413593,0 -58.4828143277,-34.6123612771,0 -58.4837514444,-34.6128545221,0 -58.4838707793,-34.6127944404,0 -58.4840411826,-34.6128189555,0 -58.4840703379,-34.6129560481,0 -58.4834866310,-34.6136776784,0 -58.4833571436,-34.6137356064,0 -58.4832383082,-34.6138838479,0 -58.4832780066,-34.6140133475,0 -58.4827126826,-34.6146862054,0 -58.4836325980,-34.6151700349,0 -58.4836481437,-34.6152643573,0 -58.4838766997,-34.6153831649,0 -58.4839821007,-34.6153675175,0 -58.4844923775,-34.6156276057,0 -58.4845079279,-34.6157113518,0 -58.4846638016,-34.6157924150,0 -58.4848743637,-34.6158009931,0 -58.4849140653,-34.6159225849,0 -58.4848271694,-34.6161052750,0 -58.4846750448,-34.6161470138,0 -58.4841048393,-34.6168549932,0 -58.4841320488,-34.6169540698,0 -58.4840038134,-34.6171095554,0 -58.4838587401,-34.6171397456,0 -58.4832967672,-34.6178289126,0 -58.4824116659,-34.6173641294,0 -58.4822610791,-34.6173897244,0 -58.4820366302,-34.6172729577,0 -58.4820014183,-34.6171174338,0 -58.4811506901,-34.6166738567,0 -58.4816673642,-34.6160056170,0 -58.4816395118,-34.6158754523,0 -58.4817662145,-34.6157178140,0 -58.4818861807,-34.6157134126,0 -58.4824632853,-34.6149855137,0 -58.4824526244,-34.6148632613,0 -58.4822809139,-34.6147734537,0"
DEV062A,"-58.4962639202,-34.6138530033,0 -58.4966388578,-34.6134327058,0 -58.4966317656,-34.6133780195,0 -58.4968202842,-34.6131654618,0 -58.4968944973,-34.6131511512,0 -58.4977934103,-34.6135717574,0 -58.4978335377,-34.6137241976,0 -58.4979939173,-34.6138125658,0 -58.4981315947,-34.6137932891,0 -58.4988938177,-34.6142000498,0 -58.4989356881,-34.6143313802,0 -58.4987489042,-34.6145455184,0 -58.4985609770,-34.6145793674,0 -58.4979689035,-34.6153071114,0 -58.4972927204,-34.6149778035,0 -58.4971903338,-34.6149960224,0 -58.4968440874,-34.6148176040,0 -58.4968312920,-34.6147268864,0 -58.4958810519,-34.6142821844,0 -58.4962639202,-34.6138530033,0"
DEV062B,"-58.4948666764,-34.6152395808,0 -58.4948835574,-34.6151107722,0 -58.4950771880,-34.6149532218,0 -58.4951720641,-34.6149537470,0 -58.4959327296,-34.6155694976,0 -58.4964142730,-34.6151958710,0 -58.4967420927,-34.6154113123,0 -58.4969557243,-34.6152433065,0 -58.4976865955,-34.6156244485,0 -58.4978358924,-34.6156090875,0 -58.4980089837,-34.6157005524,0 -58.4980034011,-34.6158248156,0 -58.4971141686,-34.6165353665,0 -58.4969971393,-34.6165296972,0 -58.4968141011,-34.6166796433,0 -58.4966643637,-34.6165581330,0 -58.4965496322,-34.6165498930,0 -58.4958889204,-34.6160063547,0 -58.4958912710,-34.6159302756,0 -58.4957386384,-34.6158062318,0 -58.4955700827,-34.6158036039,0 -58.4948666764,-34.6152395808,0"
DEV062C,"-58.4964142730,-34.6151958710,0 -58.4959327296,-34.6155694976,0 -58.4951720641,-34.6149537470,0 -58.4956876612,-34.6145444320,0 -58.4956762486,-34.6144657225,0 -58.4958219562,-34.6142904716,0 -58.4958810519,-34.6142821844,0 -58.4968312920,-34.6147268864,0 -58.4968440874,-34.6148176040,0 -58.4971903338,-34.6149960224,0 -58.4972927204,-34.6149778035,0 -58.4979689035,-34.6153071114,0 -58.4979862422,-34.6154058031,0 -58.4978358924,-34.6156090875,0 -58.4976865955,-34.6156244485,0 -58.4969557243,-34.6152433065,0 -58.4967420927,-34.6154113123,0 -58.4964142730,-34.6151958710,0"
DEV062D,"-58.4985609770,-34.6145793674,0 -58.4987489042,-34.6145455184,0 -58.4989356881,-34.6143313802,0 -58.4991746003,-34.6144629587,0 -58.4993221391,-34.6144475118,0 -58.4999089663,-34.6147973903,0 -58.4999581804,-34.6149333066,0 -58.5000851163,-34.6151933704,0 -58.5002169644,-34.6151686108,0 -58.5006667861,-34.6154244490,0 -58.5004036025,-34.6157251928,0 -58.5006007141,-34.6158416224,0 -58.5001213167,-34.6164261999,0 -58.4994818943,-34.6161055985,0 -58.4993753024,-34.6161190608,0 -58.4991308815,-34.6159937945,0 -58.4991030603,-34.6159198362,0 -58.4983625352,-34.6155358734,0 -58.4982746905,-34.6155541578,0 -58.4980089837,-34.6157005524,0 -58.4978358924,-34.6156090875,0 -58.4979862422,-34.6154058031,0 -58.4979689035,-34.6153071114,0 -58.4985609770,-34.6145793674,0"
DEV063,"-58.4930383737,-34.6166989964,0 -58.4938003442,-34.6161061101,0 -58.4938076217,-34.6159860783,0 -58.4939791922,-34.6158465200,0 -58.4941250592,-34.6158442037,0 -58.4948666764,-34.6152395808,0 -58.4955700827,-34.6158036039,0 -58.4957386384,-34.6158062318,0 -58.4958912710,-34.6159302756,0 -58.4958889204,-34.6160063547,0 -58.4965496322,-34.6165498930,0 -58.4966643637,-34.6165581330,0 -58.4968141011,-34.6166796433,0 -58.4968022552,-34.6167787019,0 -58.4959409278,-34.6174638649,0 -58.4974994213,-34.6187476149,0 -58.4974823226,-34.6188425223,0 -58.4976398142,-34.6189768890,0 -58.4977969357,-34.6189871102,0 -58.4979446903,-34.6191108625,0 -58.4976326394,-34.6193327384,0 -58.4974601131,-34.6191839960,0 -58.4974670178,-34.6191149222,0 -58.4973095221,-34.6189805435,0 -58.4971883569,-34.6189688511,0 -58.4965746145,-34.6184287649,0 -58.4965851745,-34.6183621040,0 -58.4964353290,-34.6182340521,0 -58.4963366173,-34.6182375527,0 -58.4960692635,-34.6184644111,0 -58.4957819970,-34.6182209144,0 -58.4955491020,-34.6184077001,0 -58.4958495224,-34.6186440686,0 -58.4955631262,-34.6188634651,0 -58.4955676300,-34.6189297944,0 -58.4957168899,-34.6190540374,0 -58.4955493140,-34.6191875850,0 -58.4954008111,-34.6190635638,0 -58.4952538180,-34.6190560188,0 -58.4946577711,-34.6185656558,0 -58.4946468216,-34.6184327192,0 -58.4944837339,-34.6182958306,0 -58.4943278499,-34.6182912618,0 -58.4937132729,-34.6177684404,0 -58.4937186570,-34.6176557104,0 -58.4938840848,-34.6175240964,0 -58.4937266835,-34.6173945148,0 -58.4937260894,-34.6172897056,0 -58.4930383737,-34.6166989964,0"
DEV064,"-58.4946686519,-34.6198894069,0 -58.4947912720,-34.6198982886,0 -58.4950364671,-34.6197002591,0 -58.4950256150,-34.6196049441,0 -58.4951760633,-34.6194850465,0 -58.4953292374,-34.6195042157,0 -58.4955652030,-34.6193037764,0 -58.4955493140,-34.6191875850,0 -58.4957168899,-34.6190540374,0 -58.4955676300,-34.6189297944,0 -58.4955631262,-34.6188634651,0 -58.4958495224,-34.6186440686,0 -58.4955491020,-34.6184077001,0 -58.4957819970,-34.6182209144,0 -58.4960692635,-34.6184644111,0 -58.4963366173,-34.6182375527,0 -58.4964353290,-34.6182340521,0 -58.4965851745,-34.6183621040,0 -58.4965746145,-34.6184287649,0 -58.4971883569,-34.6189688511,0 -58.4973095221,-34.6189805435,0 -58.4974670178,-34.6191149222,0 -58.4974601131,-34.6191839960,0 -58.4976326394,-34.6193327384,0 -58.4979446903,-34.6191108625,0 -58.4983958080,-34.6194886946,0 -58.4983743682,-34.6196033571,0 -58.4985208083,-34.6197282282,0 -58.4986528900,-34.6197421329,0 -58.4993184889,-34.6203244072,0 -58.4993171968,-34.6204073783,0 -58.4991426940,-34.6205441292,0 -58.4990071189,-34.6205656915,0 -58.4983067195,-34.6210872844,0 -58.4983019627,-34.6212029193,0 -58.4981283752,-34.6213389056,0 -58.4979805807,-34.6213598621,0 -58.4977398190,-34.6215499357,0 -58.4977461634,-34.6216382520,0 -58.4976175263,-34.6217389716,0 -58.4974763389,-34.6217390260,0 -58.4971917998,-34.6219551834,0 -58.4972151114,-34.6220539425,0 -58.4970550124,-34.6221791982,0 -58.4969141636,-34.6221951374,0 -58.4962685754,-34.6216580606,0 -58.4962738210,-34.6215199086,0 -58.4961265506,-34.6213956402,0 -58.4960689796,-34.6214004743,0 -58.4960168178,-34.6213516408,0 -58.4960220224,-34.6213074408,0 -58.4959287450,-34.6212287376,0 -58.4958665510,-34.6212353416,0 -58.4958010662,-34.6211734501,0 -58.4958018985,-34.6211217116,0 -58.4956969016,-34.6210331213,0 -58.4956346868,-34.6210411869,0 -58.4955680807,-34.6209800052,0 -58.4955688410,-34.6209250751,0 -58.4955011219,-34.6208679384,0 -58.4954449659,-34.6208743165,0 -58.4953758226,-34.6208170810,0 -58.4953819046,-34.6207673524,0 -58.4952162230,-34.6206275621,0 -58.4951513495,-34.6206299343,0 -58.4950997667,-34.6205891275,0 -58.4951083642,-34.6205365573,0 -58.4949747789,-34.6204238429,0 -58.4949267461,-34.6204326140,0 -58.4948841407,-34.6203953222,0 -58.4948895235,-34.6203519060,0 -58.4947607886,-34.6202432774,0 -58.4947053010,-34.6202456841,0 -58.4946757149,-34.6202214879,0 -58.4946777975,-34.6201732466,0 -58.4945979950,-34.6201059032,0 -58.4945318901,-34.6201135147,0 -58.4944967896,-34.6200780865,0 -58.4945003593,-34.6200235092,0 -58.4946686519,-34.6198894069,0"
DEV065,"-58.4642345857,-34.6238874845,0 -58.4648932159,-34.6231202100,0 -58.4650193682,-34.6230993919,0 -58.4651484745,-34.6229507880,0 -58.4654532979,-34.6230068348,0 -58.4656702621,-34.6229508886,0 -58.4664813092,-34.6231831683,0 -58.4665520228,-34.6233029842,0 -58.4667884180,-34.6233666748,0 -58.4669578921,-34.6233079021,0 -58.4678873237,-34.6235566631,0 -58.4679643866,-34.6236833459,0 -58.4681678313,-34.6237727736,0 -58.4682773555,-34.6237182466,0 -58.4693553122,-34.6240529165,0 -58.4692458894,-34.6242922404,0 -58.4690885656,-34.6243493454,0 -58.4687113904,-34.6251930915,0 -58.4677468840,-34.6249410549,0 -58.4676318625,-34.6249751245,0 -58.4674215069,-34.6249106702,0 -58.4673834351,-34.6248246113,0 -58.4663997005,-34.6245154544,0 -58.4662597494,-34.6245543981,0 -58.4660268441,-34.6244829232,0 -58.4659743995,-34.6245838344,0 -58.4647001963,-34.6241974503,0 -58.4641551381,-34.6240198345,0 -58.4642345857,-34.6238874845,0"
DEV066,"-58.4662083957,-34.6248418436,0 -58.4661687097,-34.6247589023,0 -58.4662597494,-34.6245543981,0 -58.4663997005,-34.6245154544,0 -58.4673834351,-34.6248246113,0 -58.4674215069,-34.6249106702,0 -58.4676318625,-34.6249751245,0 -58.4677468840,-34.6249410549,0 -58.4687113904,-34.6251930915,0 -58.4687727670,-34.6253242853,0 -58.4686865824,-34.6255121149,0 -58.4685691090,-34.6255399715,0 -58.4682587620,-34.6262291194,0 -58.4673226510,-34.6259603054,0 -58.4671714831,-34.6260070399,0 -58.4669643687,-34.6259433755,0 -58.4669189404,-34.6258715414,0 -58.4658863272,-34.6255428939,0 -58.4662083957,-34.6248418436,0"
DEV067,"-58.4657640089,-34.6258252120,0 -58.4657232620,-34.6257592706,0 -58.4658007824,-34.6255852182,0 -58.4658863272,-34.6255428939,0 -58.4669189404,-34.6258715414,0 -58.4669643687,-34.6259433755,0 -58.4671714831,-34.6260070399,0 -58.4673226510,-34.6259603054,0 -58.4682587620,-34.6262291194,0 -58.4683002171,-34.6263534646,0 -58.4682235023,-34.6265204110,0 -58.4681104090,-34.6265652012,0 -58.4677778435,-34.6273013565,0 -58.4678139958,-34.6274112961,0 -58.4677562538,-34.6275640657,0 -58.4676483797,-34.6276029741,0 -58.4675306198,-34.6279219250,0 -58.4675811766,-34.6280299303,0 -58.4675080324,-34.6281809604,0 -58.4661589023,-34.6277835500,0 -58.4650122980,-34.6274457819,0 -58.4650666398,-34.6273110612,0 -58.4651592677,-34.6272731142,0 -58.4652934585,-34.6269479037,0 -58.4652571668,-34.6268599313,0 -58.4653046065,-34.6266988313,0 -58.4654093636,-34.6266553358,0 -58.4657640089,-34.6258252120,0"
DEV080,"-58.5104047356,-34.5960188204,0 -58.5104073907,-34.5959556415,0 -58.5105461848,-34.5958179783,0 -58.5118174693,-34.5960338954,0 -58.5118756819,-34.5959820406,0 -58.5118631534,-34.5958502608,0 -58.5118146025,-34.5958255471,0 -58.5118153030,-34.5958074776,0 -58.5118596111,-34.5958134712,0 -58.5139923818,-34.5961087570,0 -58.5139871466,-34.5961355043,0 -58.5150419171,-34.5962956927,0 -58.5151452444,-34.5963095257,0 -58.5149436381,-34.5965265023,0 -58.5117886562,-34.5999158586,0 -58.5110388429,-34.5994385907,0 -58.5109729555,-34.5994610869,0 -58.5107092091,-34.5994443222,0 -58.5106851612,-34.5993427928,0 -58.5099095601,-34.5988550841,0 -58.5097739597,-34.5988597533,0 -58.5095866127,-34.5987424520,0 -58.5095584798,-34.5986470962,0 -58.5085134377,-34.5980159151,0 -58.5090144139,-34.5974771096,0 -58.5090038916,-34.5974110387,0 -58.5091895567,-34.5972097526,0 -58.5092586101,-34.5972037877,0 -58.5097185897,-34.5967073537,0 -58.5097117978,-34.5966455601,0 -58.5098377147,-34.5965206710,0 -58.5099119587,-34.5965136272,0 -58.5104047356,-34.5960188204,0"
DEV081,"-58.5064060610,-34.5957690802,0 -58.5064009089,-34.5957096491,0 -58.5062140302,-34.5955872442,0 -58.5061299332,-34.5955952747,0 -58.5051373276,-34.5950275842,0 -58.5051320114,-34.5949611197,0 -58.5052091071,-34.5948834303,0 -58.5102251195,-34.5955735069,0 -58.5105617070,-34.5956198052,0 -58.5118153030,-34.5958074776,0 -58.5118146025,-34.5958255471,0 -58.5118631534,-34.5958502608,0 -58.5118756819,-34.5959820406,0 -58.5118174693,-34.5960338954,0 -58.5105461848,-34.5958179783,0 -58.5104073907,-34.5959556415,0 -58.5104047356,-34.5960188204,0 -58.5099119587,-34.5965136272,0 -58.5098377147,-34.5965206710,0 -58.5097117978,-34.5966455601,0 -58.5097185897,-34.5967073537,0 -58.5092586101,-34.5972037877,0 -58.5091895567,-34.5972097526,0 -58.5090038916,-34.5974110387,0 -58.5090144139,-34.5974771096,0 -58.5085134377,-34.5980159151,0 -58.5084389820,-34.5980267284,0 -58.5082568298,-34.5979151300,0 -58.5082306438,-34.5978369249,0 -58.5072189878,-34.5972327070,0 -58.5071167876,-34.5972408744,0 -58.5069043446,-34.5971155339,0 -58.5068918870,-34.5970519052,0 -58.5074493437,-34.5964647757,0 -58.5064060610,-34.5957690802,0"
DEV082,"-58.5029661661,-34.6005792350,0 -58.5030312676,-34.6005019353,0 -58.5030475216,-34.6004489373,0 -58.5037392535,-34.6003938021,0 -58.5039202893,-34.6001798039,0 -58.5039940524,-34.6001682999,0 -58.5041844547,-34.6002833244,0 -58.5043459640,-34.6000808494,0 -58.5044040971,-34.6000729391,0 -58.5047722244,-34.6002804548,0 -58.5057053691,-34.6001248447,0 -58.5058236204,-34.6001444162,0 -58.5061255214,-34.6000666259,0 -58.5065339010,-34.6000206963,0 -58.5067771292,-34.6002251564,0 -58.5068838089,-34.6002466916,0 -58.5079425820,-34.6000796939,0 -58.5079585635,-34.6000332797,0 -58.5081855834,-34.5999785871,0 -58.5082584661,-34.5999833613,0 -58.5082941218,-34.6000076168,0 -58.5082888380,-34.6000451242,0 -58.5084605241,-34.6001446546,0 -58.5083304117,-34.6002806953,0 -58.5083341466,-34.6003500308,0 -58.5078564232,-34.6008445520,0 -58.5088140721,-34.6014363811,0 -58.5088265868,-34.6015021078,0 -58.5086903376,-34.6016506104,0 -58.5086050223,-34.6016624925,0 -58.5082330663,-34.6020651815,0 -58.5082663265,-34.6021123763,0 -58.5080324662,-34.6023849244,0 -58.5062037797,-34.6022326827,0 -58.5054770025,-34.6021975558,0 -58.5047273023,-34.6017147384,0 -58.5043102009,-34.6021579012,0 -58.5042830649,-34.6021867328,0 -58.5024280724,-34.6020617639,0 -58.5026722782,-34.6017665582,0 -58.5026705785,-34.6016870328,0 -58.5032466515,-34.6009697748,0 -58.5033478395,-34.6009524993,0 -58.5034241318,-34.6008685380,0 -58.5029661661,-34.6005792350,0"
DEV083,"-58.5258505011,-34.6043418597,0 -58.5260255718,-34.6047248427,0 -58.5274847695,-34.6075845407,0 -58.5275563675,-34.6077248512,0 -58.5268364370,-34.6081144859,0 -58.5267579156,-34.6081064072,0 -58.5265525177,-34.6082672868,0 -58.5265576576,-34.6083247625,0 -58.5264883169,-34.6083833493,0 -58.5262681668,-34.6082383522,0 -58.5261827950,-34.6083223275,0 -58.5263581386,-34.6084308219,0 -58.5257702665,-34.6088648289,0 -58.5248018916,-34.6082004217,0 -58.5246008263,-34.6083982270,0 -58.5255349636,-34.6090431282,0 -58.5250963803,-34.6093935090,0 -58.5251097157,-34.6094479298,0 -58.5249583930,-34.6095706204,0 -58.5248665178,-34.6095824832,0 -58.5236949448,-34.6088230842,0 -58.5237021224,-34.6087556670,0 -58.5235048359,-34.6086276210,0 -58.5234068331,-34.6086270517,0 -58.5228338882,-34.6090485618,0 -58.5221620858,-34.6086027522,0 -58.5220710429,-34.6085948507,0 -58.5218979220,-34.6084785132,0 -58.5218837959,-34.6083991433,0 -58.5211965714,-34.6079543783,0 -58.5213193062,-34.6078698701,0 -58.5211547029,-34.6077418045,0 -58.5258505011,-34.6043418597,0"
DEV084,"-58.5072220654,-34.6060386802,0 -58.5069654157,-34.6058913271,0 -58.5072842957,-34.6055251421,0 -58.5075572211,-34.6056842297,0 -58.5075886726,-34.6057885722,0 -58.5077718683,-34.6059587349,0 -58.5078731769,-34.6059208780,0 -58.5081972458,-34.6061339504,0 -58.5082294147,-34.6062556449,0 -58.5084079451,-34.6063715579,0 -58.5085331826,-34.6063393164,0 -58.5088315235,-34.6065348562,0 -58.5088468482,-34.6066567845,0 -58.5090089184,-34.6067622203,0 -58.5091410533,-34.6067454094,0 -58.5095655181,-34.6070055036,0 -58.5095991002,-34.6071466378,0 -58.5098304244,-34.6072932298,0 -58.5099808456,-34.6072572573,0 -58.5111032828,-34.6079492297,0 -58.5111433152,-34.6080877760,0 -58.5113348584,-34.6082035914,0 -58.5111351824,-34.6083409427,0 -58.5111494129,-34.6084238585,0 -58.5105634886,-34.6091352555,0 -58.5104364365,-34.6091496963,0 -58.5103058422,-34.6093084735,0 -58.5103362587,-34.6093776435,0 -58.5102416632,-34.6094937297,0 -58.5101519472,-34.6094955885,0 -58.5100334601,-34.6096320224,0 -58.5097996036,-34.6095195085,0 -58.5100039210,-34.6092668268,0 -58.5088054335,-34.6085993637,0 -58.5087742850,-34.6084783454,0 -58.5084686199,-34.6084217330,0 -58.5083015036,-34.6084563236,0 -58.5078585463,-34.6082012333,0 -58.5078521499,-34.6080612347,0 -58.5076849903,-34.6079645905,0 -58.5075792891,-34.6079891961,0 -58.5065257575,-34.6074052931,0 -58.5065101088,-34.6073116816,0 -58.5063166634,-34.6071610962,0 -58.5064520068,-34.6070149942,0 -58.5064257786,-34.6069194694,0 -58.5072220654,-34.6060386802,0"
DEV085,"-58.5054831640,-34.6079285755,0 -58.5055996694,-34.6079278860,0 -58.5057253977,-34.6077931321,0 -58.5057112333,-34.6076857865,0 -58.5061595306,-34.6071759284,0 -58.5063166634,-34.6071610962,0 -58.5065101088,-34.6073116816,0 -58.5065257575,-34.6074052931,0 -58.5075792891,-34.6079891961,0 -58.5076849903,-34.6079645905,0 -58.5078521499,-34.6080612347,0 -58.5078585463,-34.6082012333,0 -58.5083015036,-34.6084563236,0 -58.5084686199,-34.6084217330,0 -58.5087742850,-34.6084783454,0 -58.5088054335,-34.6085993637,0 -58.5100039210,-34.6092668268,0 -58.5097996036,-34.6095195085,0 -58.5100334603,-34.6096320225,0 -58.5100653665,-34.6097168271,0 -58.5100184077,-34.6097825148,0 -58.5099493004,-34.6098791855,0 -58.5098769762,-34.6098954363,0 -58.5097145335,-34.6101132863,0 -58.5097440974,-34.6101911736,0 -58.5096237022,-34.6103554122,0 -58.5095311895,-34.6103685220,0 -58.5095031492,-34.6105438802,0 -58.5095218858,-34.6106180957,0 -58.5093720019,-34.6107929375,0 -58.5092724413,-34.6108004718,0 -58.5091271377,-34.6109620043,0 -58.5088489726,-34.6108817946,0 -58.5086915394,-34.6108720229,0 -58.5074425967,-34.6101700296,0 -58.5074132079,-34.6100538608,0 -58.5071690264,-34.6099179382,0 -58.5070329893,-34.6099294804,0 -58.5065246806,-34.6096584227,0 -58.5064947939,-34.6095448678,0 -58.5062944663,-34.6094295827,0 -58.5061347099,-34.6094397672,0 -58.5051540599,-34.6088679310,0 -58.5051421068,-34.6087667914,0 -58.5049273806,-34.6086426623,0 -58.5050742469,-34.6084864301,0 -58.5050630886,-34.6083844344,0 -58.5054831640,-34.6079285755,0"
DEV086,"-58.5021067238,-34.6046608160,0 -58.5020077564,-34.6046497391,0 -58.5010456818,-34.6040716555,0 -58.5010320959,-34.6040176377,0 -58.5011616962,-34.6038669288,0 -58.5012513775,-34.6038502925,0 -58.5019269236,-34.6030396147,0 -58.5019152422,-34.6029855005,0 -58.5018223322,-34.6026792899,0 -58.5018054921,-34.6026202397,0 -58.5020648894,-34.6023094981,0 -58.5021581509,-34.6022860531,0 -58.5022283792,-34.6022889794,0 -58.5024291045,-34.6020618307,0 -58.5032658899,-34.6021163736,0 -58.5032345466,-34.6023598405,0 -58.5032474083,-34.6024974674,0 -58.5035742980,-34.6027446432,0 -58.5031222157,-34.6032739463,0 -58.5031482232,-34.6033956827,0 -58.5033445995,-34.6035020228,0 -58.5034599794,-34.6034806464,0 -58.5043703553,-34.6039682718,0 -58.5044020462,-34.6040822884,0 -58.5046542746,-34.6042206035,0 -58.5047967916,-34.6041962461,0 -58.5057775966,-34.6047291465,0 -58.5058082347,-34.6048527670,0 -58.5060345923,-34.6048857566,0 -58.5061730184,-34.6048710449,0 -58.5066981464,-34.6051849246,0 -58.5067159167,-34.6052818594,0 -58.5069015997,-34.6053897178,0 -58.5070113713,-34.6053660548,0 -58.5072842957,-34.6055251421,0 -58.5069654157,-34.6058913271,0 -58.5072220654,-34.6060386802,0 -58.5064257786,-34.6069194694,0 -58.5058706826,-34.6066057860,0 -58.5057844140,-34.6066257297,0 -58.5055984281,-34.6065166644,0 -58.5054643172,-34.6066645486,0 -58.5053825049,-34.6066716067,0 -58.5047869739,-34.6063202444,0 -58.5047767023,-34.6062599424,0 -58.5046099962,-34.6061610568,0 -58.5045360046,-34.6061699085,0 -58.5041459906,-34.6059428415,0 -58.5041380093,-34.6058813242,0 -58.5039146084,-34.6057449153,0 -58.5038250158,-34.6057584779,0 -58.5035204331,-34.6055690454,0 -58.5035114798,-34.6055036670,0 -58.5032667098,-34.6053569108,0 -58.5031420980,-34.6053863160,0 -58.5023366418,-34.6049036858,0 -58.5022965898,-34.6047746410,0 -58.5021067238,-34.6046608160,0"
DEV087A,"-58.4982520472,-34.6054154919,0 -58.4981831321,-34.6054278876,0 -58.4979899017,-34.6053103592,0 -58.4979764023,-34.6052472757,0 -58.4973899508,-34.6048916101,0 -58.4973090419,-34.6048983739,0 -58.4970803398,-34.6047599613,0 -58.4970674416,-34.6046929589,0 -58.4974787780,-34.6042161192,0 -58.4972839200,-34.6041009110,0 -58.4975034202,-34.6038472119,0 -58.4977058025,-34.6039664716,0 -58.4982234993,-34.6033971129,0 -58.4983224605,-34.6033873829,0 -58.4985267294,-34.6035102946,0 -58.4985458276,-34.6035919719,0 -58.4980488946,-34.6041486211,0 -58.4985596491,-34.6044514705,0 -58.4985749104,-34.6045418551,0 -58.4987694988,-34.6046576914,0 -58.4989053003,-34.6046524363,0 -58.4993171873,-34.6040596824,0 -58.5002172849,-34.6046086271,0 -58.5003272425,-34.6045859995,0 -58.5005160119,-34.6046159820,0 -58.5004385337,-34.6047797251,0 -58.5004533021,-34.6048368959,0 -58.5000216385,-34.6053552253,0 -58.4999511911,-34.6053583411,0 -58.4999428128,-34.6053685151,0 -58.5000518541,-34.6054335619,0 -58.5000825695,-34.6053971968,0 -58.5001093776,-34.6054126778,0 -58.5000609794,-34.6054723438,0 -58.4999243431,-34.6053908365,0 -58.4997994190,-34.6055385775,0 -58.4998189499,-34.6056252444,0 -58.5007349070,-34.6061799379,0 -58.5003259846,-34.6066650287,0 -58.4997472223,-34.6063098142,0 -58.4995297096,-34.6065460017,0 -58.4992238510,-34.6063578570,0 -58.4988000940,-34.6068694031,0 -58.4986537268,-34.6069001821,0 -58.4984696358,-34.6067930871,0 -58.4984560695,-34.6067233375,0 -58.4989428410,-34.6061454418,0 -58.4990219982,-34.6061362533,0 -58.4991295931,-34.6060083843,0 -58.4991176390,-34.6059492758,0 -58.4982520472,-34.6054154919,0"
DEV087B,"-58.4997472223,-34.6063098142,0 -58.5003259846,-34.6066650287,0 -58.5007349070,-34.6061799379,0 -58.5008574675,-34.6061655267,0 -58.5009799179,-34.6063596114,0 -58.5009987452,-34.6064754347,0 -58.5006562992,-34.6068898567,0 -58.5005223099,-34.6069070602,0 -58.5004580108,-34.6071212476,0 -58.5003246241,-34.6069345250,0 -58.5002369724,-34.6069397678,0 -58.4995297096,-34.6065460017,0 -58.4997472223,-34.6063098142,0"
DEV087C,"-58.4983198247,-34.6069906169,0 -58.4985006473,-34.6070971933,0 -58.4986537267,-34.6069001821,0 -58.4988000940,-34.6068694031,0 -58.4992238510,-34.6063578570,0 -58.4995297096,-34.6065460017,0 -58.5002369724,-34.6069397678,0 -58.5003246241,-34.6069345250,0 -58.5004580108,-34.6071212476,0 -58.5004759794,-34.6072287177,0 -58.5001187983,-34.6076714786,0 -58.4999864701,-34.6076844990,0 -58.4998564421,-34.6078399223,0 -58.4998581399,-34.6079685422,0 -58.4993613439,-34.6085623228,0 -58.4992496771,-34.6085657576,0 -58.4990531346,-34.6084546534,0 -58.4990223510,-34.6083588266,0 -58.4984453870,-34.6080482117,0 -58.4983451652,-34.6080542083,0 -58.4981834353,-34.6079626698,0 -58.4981504491,-34.6078754078,0 -58.4978376862,-34.6077108643,0 -58.4983198247,-34.6069906169,0"
DEV087D,"-58.4970153900,-34.6089119382,0 -58.4970016232,-34.6088537861,0 -58.4971202765,-34.6086850970,0 -58.4971968894,-34.6086733259,0 -58.4976602966,-34.6079788035,0 -58.4976414959,-34.6079044043,0 -58.4977621832,-34.6077241385,0 -58.4978376862,-34.6077108643,0 -58.4981504491,-34.6078754078,0 -58.4981834353,-34.6079626698,0 -58.4983451652,-34.6080542083,0 -58.4984453870,-34.6080482117,0 -58.4990223510,-34.6083588266,0 -58.4990531346,-34.6084546534,0 -58.4992496769,-34.6085657575,0 -58.4991086397,-34.6087346376,0 -58.4991168265,-34.6088449321,0 -58.4986456421,-34.6094635022,0 -58.4984888843,-34.6094777768,0 -58.4983540301,-34.6096373680,0 -58.4983760407,-34.6097734197,0 -58.4981005481,-34.6100903025,0 -58.4977591620,-34.6098894953,0 -58.4976956365,-34.6099654566,0 -58.4966816224,-34.6093903064,0 -58.4970153900,-34.6089119382,0"
